comment,sentimiento,tema
la politica venezolana paso de ser un chiste a ser un mal chiste,ira,politica
lo que le hicieron a raul isaias baduel quedara para la historia de la infamia politica venezolana,ira,politica
respeten que gente de poca mente superenlo no es politica una deportista venezolana que merece su respeto viva venezuela,ira,politica
lo dice un dinosaurio de la politica venezolana lideres jovenes es que necesita este pais no comprometidos con la vieja de hacer polica por eso les estorba guaido estos anacronismo y sus fieles representantes deben desaparecer del panorama politico de mi pais,ira,politica
que insistencia la de caramelo de colaborar con irene como presidenciable cuando realmente no participa en la politica venezolana y no reune condiciones hay muchas damas que si las tienen para lograr la recuperacion de la venezuela desbastada que deja el castro chiavismo,ira,politica
1994 muere mercedes carvajal de arocha conocida por su seudonimo lucila palacios fue una escritora politica y diplomatica venezolana,tristeza,politica
no me interesa lo que dice por que no estoy hablando de politica sino de identidad nacional vzla lo vio crecer sus hijos crecieron aqui en maracaibo se hizo famoso aqui de repente es uruguayo argentino chileno y colombiano yo con orgullo soy venezolana me identifico asi,alegria,politica
que va yo solo creo a los que hacen politica a la venezolana,ira,politica
eso es costumbre venezolana y colombiana con armas y con la mayor concha del mundo de eso no habla la prensa ni la derecha politica q aplaudio el ingreso sin controles de los que huian del comunismo con delincuentes infiltrados mudos,ira,politica
yo amaba a venezuela soy 5ta generacion venezolana por ambos lados pero llego un momento en que no me identificaba con los valores del venezolano actual la politica cambio lo que me ensenaron que era mi gentilicio y aqui estoy lejos anorando al pais que puede ser,tristeza,politica
ad es un nido de corruptos los grandes vicios de la politica venezolana nacieron en ese partido politico mas del 90 de los ladrones de la politica vienen de ahi,ira,politica
cualquier parecido con la realidad politica venezolana entre los celestinos cortesanos meretrices prepagos proxenetas y amancebad del regimen genocida de nicolas maduro y cia es pura coincidencia,ira,politica
quieren unas primarias dirigidas por la oligarquia mas desprestigiada de la politica venezolana el g4 todavia piensa que es oposicion pero no son mas que un nido de serpientes con fines lucrativos necesita legitimar a sus fuerzas politicas una oposicion real,ira,politica
feliz dia tachirenses hoy se cumple un ano mas desde que los libres cantones de la grita san antonio lobatera san faustino y san cristobal que nacieron de este ultimo asumieran formalmente una entidad politica luego de 8 anos separados de la union venezolana,alegria,politica
de verdad la politica venezolana es tan bizarra y de bajo nivel es increible,sorpresa,politica
estimado no me suena esa mujer en la farandula de la politica venezolana pero le voy a preguntar a que el siempre ha sido un politico humilde sincero y tramparente espero nos atienda sabemos que tiene una agenda apretada,ira,politica
por la parte politica y es un medio de manipulacion y ellos perpetuarse en el poder esa es la realidad venezolana los voy aver ahora cuando ya no haya que quitarles mas ceros a la moneda que carajo van hacer,ira,politica
recomendable para traicionar y entregar desde su inicio en la asquerosa politica venezolana denle su perico y que se jubile,ira,politica
y asi debe ser es una venezolana que esta representando nuestro pais seguire celebrando todas y cada una de las medallas que vengan sin distincion politica,alegria,politica
la politica venezolana es una carrera cruel codiciada por transfugas sin decoro buscan penetrar las posiciones de poder para enriquecerse es la carrera mas lucrativa que existe murio ganhdi lither king mandela estamos sin lideres pueblo ignorante ladronismo despiadado,ira,politica
se parece no es complicidad pareciera mentira pero todos en la clase politica venezolana tienen un precio,ira,politica
ahhh pero usted fue el hdp que no quiso dejar de optar por su cuota de matraca en un cargo publico de que se queja usted es parte de la miseria politica venezolana a quien quiere enganar,ira,politica
el coqui de la politica venezolana no es el tsj el cne y las fanb que extorsionan la voluntad popular de un pueblo como por ejemplo barinas te suena,ira,politica
leiste es una madre ciudadana venezolana tu estas en colombia bien instalado haz algo bueno por primera vez en tu vida politica por quienes creyeron en uds,alegria,politica
