comment,sentimiento,tema,politica,migracion
la politica venezolana paso de ser un chiste a ser un mal chiste,2.0,politica,1,0
lo que le hicieron a raul isaias baduel quedara para la historia de la infamia politica venezolana,2.0,politica,1,0
respeten que gente de poca mente superenlo no es politica una deportista venezolana que merece su respeto viva venezuela,2.0,politica,1,0
lo dice un dinosaurio de la politica venezolana lideres jovenes es que necesita este pais no comprometidos con la vieja de hacer polica por eso les estorba guaido estos anacronismo y sus fieles representantes deben desaparecer del panorama politico de mi pais,2.0,politica,1,0
que insistencia la de caramelo de colaborar con irene como presidenciable cuando realmente no participa en la politica venezolana y no reune condiciones hay muchas damas que si las tienen para lograr la recuperacion de la venezuela desbastada que deja el castro chiavismo,2.0,politica,1,0
1994 muere mercedes carvajal de arocha conocida por su seudonimo lucila palacios fue una escritora politica y diplomatica venezolana,5.0,politica,1,0
no me interesa lo que dice por que no estoy hablando de politica sino de identidad nacional vzla lo vio crecer sus hijos crecieron aqui en maracaibo se hizo famoso aqui de repente es uruguayo argentino chileno y colombiano yo con orgullo soy venezolana me identifico asi,0.0,politica,1,0
que va yo solo creo a los que hacen politica a la venezolana,2.0,politica,1,0
eso es costumbre venezolana y colombiana con armas y con la mayor concha del mundo de eso no habla la prensa ni la derecha politica q aplaudio el ingreso sin controles de los que huian del comunismo con delincuentes infiltrados mudos,2.0,politica,1,0
yo amaba a venezuela soy 5ta generacion venezolana por ambos lados pero llego un momento en que no me identificaba con los valores del venezolano actual la politica cambio lo que me ensenaron que era mi gentilicio y aqui estoy lejos anorando al pais que puede ser,5.0,politica,1,0
ad es un nido de corruptos los grandes vicios de la politica venezolana nacieron en ese partido politico mas del 90 de los ladrones de la politica vienen de ahi,2.0,politica,1,0
cualquier parecido con la realidad politica venezolana entre los celestinos cortesanos meretrices prepagos proxenetas y amancebad del regimen genocida de nicolas maduro y cia es pura coincidencia,2.0,politica,1,0
quieren unas primarias dirigidas por la oligarquia mas desprestigiada de la politica venezolana el g4 todavia piensa que es oposicion pero no son mas que un nido de serpientes con fines lucrativos necesita legitimar a sus fuerzas politicas una oposicion real,2.0,politica,1,0
feliz dia tachirenses hoy se cumple un ano mas desde que los libres cantones de la grita san antonio lobatera san faustino y san cristobal que nacieron de este ultimo asumieran formalmente una entidad politica luego de 8 anos separados de la union venezolana,0.0,politica,1,0
de verdad la politica venezolana es tan bizarra y de bajo nivel es increible,4.0,politica,1,0
estimado no me suena esa mujer en la farandula de la politica venezolana pero le voy a preguntar a que el siempre ha sido un politico humilde sincero y tramparente espero nos atienda sabemos que tiene una agenda apretada,2.0,politica,1,0
por la parte politica y es un medio de manipulacion y ellos perpetuarse en el poder esa es la realidad venezolana los voy aver ahora cuando ya no haya que quitarles mas ceros a la moneda que carajo van hacer,2.0,politica,1,0
recomendable para traicionar y entregar desde su inicio en la asquerosa politica venezolana denle su perico y que se jubile,2.0,politica,1,0
y asi debe ser es una venezolana que esta representando nuestro pais seguire celebrando todas y cada una de las medallas que vengan sin distincion politica,0.0,politica,1,0
la politica venezolana es una carrera cruel codiciada por transfugas sin decoro buscan penetrar las posiciones de poder para enriquecerse es la carrera mas lucrativa que existe murio ganhdi lither king mandela estamos sin lideres pueblo ignorante ladronismo despiadado,2.0,politica,1,0
se parece no es complicidad pareciera mentira pero todos en la clase politica venezolana tienen un precio,2.0,politica,1,0
ahhh pero usted fue el hdp que no quiso dejar de optar por su cuota de matraca en un cargo publico de que se queja usted es parte de la miseria politica venezolana a quien quiere enganar,2.0,politica,1,0
el coqui de la politica venezolana no es el tsj el cne y las fanb que extorsionan la voluntad popular de un pueblo como por ejemplo barinas te suena,2.0,politica,1,0
leiste es una madre ciudadana venezolana tu estas en colombia bien instalado haz algo bueno por primera vez en tu vida politica por quienes creyeron en uds,0.0,politica,1,0
tenemos millones de venezolanos deambulando por todos ladospero un tipo que se sabe comulga con la politica venezolana asesoro a chaves y lo apoyan a ojo cerradoque les pasa,2.0,politica,1,0
una vez un profe me dijo que me pegara un tiro porque le dije que no creia en la politica venezolana ahora quien es el que se quiere pegar el tiro,2.0,politica,1,0
el general mata figueroa aprendio de los adecos y copeyanos y en la actualidad se tiene a un sindicalista ignorante sin estudio en la presidencia de la republica peor todavia para la politica venezolana,2.0,politica,1,0
idem pese a todo sigue siendo una de las muy pocas figuras de la politica venezolana con integridad y principios no se si llena de esperanza dificil ser optimista pero credibilidad tiene,0.0,politica,1,0
yo mas bien pienso que en la mud estan peor que el gobierno los cogollos y las tribus todavia reinan en la politica venezolana dejen la manipulacion y el yo pienso xq yo tambien podria pensar que ese grupo radical opositor es financiado por intereses economicos,2.0,politica,1,0
jajajaja de donde cono sacaran esos eslogan caracas es el cuchitril de america latina que pena la verdad me da la politica venezolana,5.0,politica,1,0
que espectaculo la politica venezolana,0.0,politica,1,0
la politica venezolana de partidos de oposicion debe ser la unica en el planeta donde te premian si haces todo mal fracaso tras fracaso y siguen ahi como si nada ni una disculpa por los errores cometidos entonces cuando reclamas y pides cuentas el malo es uno,2.0,politica,1,0
la coprocracia venezolana ledezma lider indiscutible maria corina la matajari politica y el aguevoneao de guaido incluye a lopez guevara y demas voluntades no encuentran un punto de encuentro como si la encontraron en el 28 y en el pacto de punto fijo coprofagos,2.0,politica,1,0
si obvio no todos de hecho yo tengo polola venezolana no admira a maduro precisamente pero entiende que los contextos y estructura politica son distintos de que nos podemos ir a la chucha si claro pero eso puede ocurrir con ambas candidaturas,2.0,politica,1,0
la destructiva y lacerante politica educativa venezolana enmarcada en el paradigma de la mediocridad ya esta produciendo danos significativos egresan certifican con cualquier grado a cualquier participante sin criterios hacen un dano que va sucumbiendo al pais en el atraso,5.0,politica,1,0
que ladilla la politica venezolana mas de lo mismo,2.0,politica,1,0
terrible la politica del de invisibilizar a la crisis de refugiados venezolana,5.0,politica,1,0
que hizo el interinato para evitar esto es detestable no hacer nada para palear o evitar tanto sufrimiento de los venezolanos las responsabilidad y coherencia ha dejado de ser motores fundamentales de la politica venezolana,2.0,politica,1,0
en la politica venezolana ya no hay companeros de partido lo que hay es una manada de hienas queriendose comer lo poco que deja el regimen eso es lo que hay aqui si hubiera verguenza en esas personas que estan inhabilitadas no estuvieran postulando,2.0,politica,1,0
jajajaja chichon de piso uno de los hombres mas fracasados en la politica venezolana ni su familia le cree,2.0,politica,1,0
lastimosamente en este pais se han criado cuervos durante decadas a nivel de universidad y cultura lo peor no es eso es que se siguen criando en sitios como la ucab ucv y otros la politica y la intelectualidad venezolana esta llena de socialistasy progres pero pocos liberales,5.0,politica,1,0
despues se preguntan por que el ciudadano no confia en la clase politica venezolana,2.0,politica,1,0
nono fueron mandados por nadaes parte de la sociedad venezolanaesa gente no maneja politicasu proceder es su mal vivir no es necesario pedir disculpasde verdad,2.0,politica,1,0
callese senor y pongase a trabajar deje de ser un vago mantenido de la politica venezolana,2.0,politica,1,0
pocos presidentes en el mundo han tenido una politica tan solidaria y exitosa como la que tuvo ivan duque con la migracion venezolana casi 25 millones de venezolanos regularizados en colombia lo demuestran gracias por apostar a la integracion siempre,0.0,politica,1,0
que asco todo la politica venezolana no es mas que una gran cloaca,2.0,politica,1,0
ese senor manejo de manera nefasta la direccion de la oposicion por varios anos y aca estan los resultados lo mismo que chuo torrealba son par de fracasados no deberian tener mas cabida en la politica venezolana,2.0,politica,1,0
que bueno que pase esto y ojala desenmascaren por completo esa mostruosa estructura que muy seguro sera colombo venezolana ese record de incautacion insinua el crecimiento inmenso de cultivos ilicitos y el aumento de los envios x falta de una politica clara en erradicacion,5.0,politica,1,0
imagina los que tienen que hacer libros de hsito6 para los colegios que desastre va a dar pena explicar la generacion politica venezolana,5.0,politica,1,0
sera que la dirigen cia politica colombiana va a cometer el mismo error de la oposicion venezolana de permitirle el acceso al gobierno a ese resentido social de ser asi pobre colombia se le avecinan tiempos mas desgraciados que despues les va a pesar clncue cia senores,5.0,politica,1,0
que barbaridad senora usted o es enchufada es estupida o las dos cosas anteriores a petro le reconocen el triunfo en un proceso ajustado a derecho maduro es producto de un fraude desde sus inicios en politica venezolana,2.0,politica,1,0
afirmo la oposicion politica venezolana 19922022 esta nutrida de traidores mercaderes oportunistas y buenos para nada estudien cada nombre su origen y politico reciclando a seguiremos como nicaragua peru chile mexico brasil y colombia,2.0,politica,1,0
bonitas palabras pero hay 6 millones de venezolanos que no quieren ser martires y prefieren vivir tranquilos pero bueno que sabre yo de politica venezolana y de sus narrativas tenga un buen dia,2.0,politica,1,0
1926 nace argelia mercedes laya lopez fue una docente activista politica y filosofa venezolana considerada como una de las mujeres mas importantes de la historia de venezuela,0.0,politica,1,0
tweet para expresar mi asco hacia la politica venezolana,2.0,politica,1,0
muy grave aseguran que crisis politica venezolana aumenta el riesgo de lavado de dinero en aruba y curazao,5.0,politica,1,0
quedo sorprendido con las caras nuevas y frescas que coloca la oposicion venezolana para enfrentar al oficialismo sobre todo en zulia y anzoategui gente joven y renovada insisto en politica no hay casualidad ni actos inocentes,0.0,politica,1,0
