tweet,sentimiento
"la pelua tiene cara de consentida y caprichosa, la pirata tiene cara de traviesa... muy adorables 😍🥰😘",Muestras/alegria
felices estamos! comimos empanadas 😁,Muestras/alegria
muy bueno 😄,Muestras/alegria
"en ese momento cell, se derritió.😍",Muestras/alegria
"yo nunca lo he fumado! de echo yo fumo muy de vez en cuando, solo cuando bebo ron con coca cola y cuando me junto con las malas influencias 😂😂😂",Muestras/alegria
buen día la verdad prevalecerá alexesinocente,Muestras/alegria
buena idea 😂😂,Muestras/alegria
venezuelahelp quién me regala pa mi pasaporte!? 😂😂🤣,Muestras/alegria
feliz sábado 😍,Muestras/alegria
con razón sigues arrecho jajajaja 😂 😂😂😆😂😃😂😂,Muestras/alegria
gracias,Muestras/alegria
valoro y disfruto los días en que puedo echarme el sueñecito de la tarde😍,Muestras/alegria
"buscas profesionales, con valores morales e integridad personal..😍te los tengo maestros de ️",Muestras/alegria
"🤣 uy no, ni por eso me casaría",Muestras/alegria
"no hay otra medicina que alivie el dolor por tanto sabor... 😁😍 así es un verdadero sabor. jamonespalda jamonpierna jamonfiambre espaldacocida desayunos almuerzos cenas en santa cruz, aragua, venezuela",Muestras/alegria
jajajaja marica yaaaa 😂😂😂,Muestras/alegria
ya somos dos😂,Muestras/alegria
gracias lili amén amén amén que así sea!! igualmente para ti 😇,Muestras/alegria
así te pienso todas las noches señora yoxi 😊,Muestras/alegria
entonces dios me enseño la felicidad en tus ojos!!! 🥰😍 te amo hija !,Muestras/alegria
algún dia llega aqui lewandoskiiiii. puro coleo. 🤣,Muestras/alegria
ajajjajajajajaja que cabron tu foto de perfil te delata no vengas con mamadas 🤣🤣🤣😊🤣😂😂,Muestras/alegria
abrazos y bendiciones para ti 😘 que este mes llegue cargado de éxitos. 😘😘😍️,Muestras/alegria
jajaja jajaja jajaja jajaja jajaja pa que sea varón.. tukiti,Muestras/alegria
y disfrutar de ese paisaje maravilloso ☺️😍,Muestras/alegria
tati se quiere caer a coñazos con norkys 🤣,Muestras/alegria
mi vieja anoche fue a buscar a guada a su casa para que se quede a dormir conmigo yo me desperté y ella estaba acostada ya para hoy a la mañana llevarla a hacer unos análisis ah pero yo le digo que me busque o me acompañe al medico y termino yendo sola 🤣,Muestras/alegria
