tweet,sentimiento,tema
Abajo La Dictadura de Maduro venezuela libre  Hasta El Final Edmundo Gonzalez Presidente,ira,politica
Luz para afuera y oscuridad para la casa. Venezuela Libre Transicion Ya,ira,politica
El 1 de Diciembre movilización en  Venezuela  y en todo el mundo ratificando el triunfo de  Edmundo Gonzalez  y exigiendo que el 10 de enero se establezca un gobierno democrático y legítimo HastaEl Final Venezuela Libre,ira,politica
Siempre Confiando en ti. Vamos a lograrlo todos juntos Venezuela Libre venezuela libre hasta el final Maria Corina YA,alegria,politica
Una anciana apenas capaz de caminar se esforzó por salir a votar contra el cruel régimen de Nicolás Maduro. ¡Esto es verdadero amor por Venezuela! Elecciones VE 2024 Venezuela Libre,sorpresa,politica
Mi prima Fiorella Ramos Maestre fue amenazada de muerte en la ciudad de Cumaná Estado Sucre porque no quieren que ningún testigo de la oposición esté presente. Este guardia nacional le comenta que la va a mandar a joder con una malandra Venezuela Libre,miedo,politica 
hoy conocí el amor de mi vida,alegria,ninguno
Ya se reúnen los venezolanos en Buenos Aires Plaza de Mayo para recibir al Presidente Electo Edmundo González Urrutia tiembla Nicolás Maduro cierra Maiquetía con tus zamuros del DGCIM, miedo, politica
El chavismo es un chiste,asco,politica 
No volverán independencia y patria socialista,miedo,politica
Leales siempre traidores nunca,miedo,politica 
En el aeropuerto de Maiquetía pusieron el tonto aviso de "se busca" Nunca pusieron el de "agarren a ese mona" cada vez que la hija del secuestrador se llevaba las maletas llenas de oro? El chavismo es un chiste,ira,politica 
Me imagino a Edmundo llegando a Maiquetia y viendo su cartel,sorpresa,politica
Lograron la mejor estrategia de consolidación de la marca Edmundo González. Pusieron su cara en todas partes por si quedaba dudas q es el presidente electo. Ya EGU está en Venezuela "presente" no hace falta su aterrizaje por Maiquetía, sorpresa,politica
Edmundo González recordando viejos tiempos la diplomácia donde se mueve como pez en el agua. Este Sr se le escapó al régimen por la puerta principal de Maiquetia calcularon mal la capacidad del Presidente Electo. ahora ha prometido venir a cobrar y los tiene despistados,sorpresa,politica 
hablando con mi padre que sigue en Venezuela le dije "al final uno nunca deja de ser el niño que se quedó en Maiquetía" y me quebré salió del fondo de mi alma estoy completamente rota ojalá Dios pueda salvarme, tristeza,migracion 
Tengo ganas de estar hasta el 9 de Enero en Maiquetía a ver si viene el alcohólico de Urrutia con Simonovis hasta gratis lo Entrego . Desde Guaido hasta el último hjdputa que piden sanciones deben estar presos. Queremos que consulten al pueblo para quitarle la Nacionalidad,irá,politica 
🥹 Amén Nos veremos 🙌 se me hace un nudo en la garganta nada más de imaginar ese aterrizaje en Maiquetía. llegar a Caracas bajarme en una plaza y gritar somos libres carajo y esos abrazos cargados de tantos sentimientos guardados por años, alegría,migracion
🥹 Amén Nos veremos 🙌 se me hace un nudo en la garganta nada más de imaginar ese aterrizaje en Maiquetía. llegar a Caracas bajarme en una plaza y gritar somos libres carajo y esos abrazos cargados de tantos sentimientos guardados por años, alegría,politica
Venezuela en manos de mercenarios, ira,politica 
El ministerio de educación da la orden de todos a clases 🤔, sorpresa,politica 
¿Osea los estudiantes no corren peligro solo Nicolás Maduro?, sorpresa,politica 
Maduro tiene la idea de usar a los estudiantes como escudos humanos que sorpresa, sorpresa,politica 
